tech,note
dbt,core analytics engineering tool
SQL,baseline
Python,common analytics / AE language
BigQuery,this project target warehouse
AWS,common cloud
Snowflake,common cloud warehouse
Looker,BI / semantic layer
Tableau,BI tool
Power BI,BI tool
Airflow,orchestration - AE-adjacent
